ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMAS,FULLSTOPS,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
63,53,0,220,6,221,99,108,1,26,13,29,66,85.99,3.9,4.265402843601896,13.564885496183207,1.0513826608657837,1.0117924440474737,0
34,62,0,86,5,92,34,43,2,14,8,11,18,92.63,3.4,3.9276315789473686,13.72549019607843,1.0808992385864258,1.1380700306458906,0
16,11,0,59,1,44,12,20,0,2,3,7,19,91.21,4.0,4.294964028776978,15.65,1.095630407333374,1.0152179956436158,0
26,29,0,57,2,56,38,6,0,8,5,8,23,60.92,13.6,4.02020202020202,40.81818181818182,1.3662240505218506,1.2476670742034912,0
99,94,0,220,13,160,113,68,4,13,12,35,56,71.04,7.6,4.541736227045075,20.405797101449274,1.104391098022461,1.0414537007992084,0
25,26,0,75,1,92,23,48,4,9,5,6,15,94.56,2.7,3.7738970588235294,12.849056603773585,1.0891331434249878,1.0559948239215584,0
37,19,0,120,3,68,36,35,0,14,5,16,38,83.96,4.7,4.270875763747454,15.236842105263158,1.1194860935211182,1.036023999082631,0
62,73,0,159,8,117,98,77,4,34,7,18,30,76.62,5.5,4.203203203203203,14.080459770114942,1.0918612480163574,1.2040585977275198,0
17,11,0,53,0,45,21,10,1,1,5,8,12,77.67,7.1,4.396296296296296,24.0,1.1110804080963135,1.017715802559486,0
59,43,0,147,3,129,10,45,1,22,7,22,40,78.69,6.7,4.192353643966547,19.27659574468085,1.2052628993988037,1.2128980684280395,0
27,26,0,83,8,82,36,48,0,7,4,8,27,86.4,3.8,4.222916666666666,12.382978723404255,1.0407862663269043,1.0065505472389427,0
111,101,0,238,6,234,147,98,0,29,18,33,37,83.05,5.1,4.232230392156863,16.0,1.083940863609314,1.1253088066975276,0
55,45,0,132,5,123,65,44,0,13,14,19,50,72.26,7.1,4.552564102564102,17.074074074074073,1.0706697702407837,1.0434016505877177,0
55,57,0,133,9,118,47,49,1,31,14,23,29,81.43,5.7,4.260709914320685,16.571428571428573,1.1137497425079346,1.1032937833241054,0
71,44,0,177,14,124,26,73,1,26,12,14,40,94.45,2.7,4.1527950310559,12.125,1.342119812965393,1.3569770091917457,0
32,42,0,69,4,81,18,80,0,3,6,4,15,98.11,1.3,3.9809322033898304,6.715909090909091,1.1160306930541992,1.3074942663924334,0
80,98,0,193,7,218,99,90,4,24,24,20,62,83.76,4.8,4.23353751914242,13.672268907563025,1.2072522640228271,1.1098971411033913,0
26,44,0,88,5,107,23,60,0,9,11,6,25,96.18,2.1,3.9056603773584904,10.47887323943662,1.1051478385925293,1.0837129306793214,0
62,30,0,177,4,106,35,40,2,9,17,23,55,68.81,8.5,4.482712765957447,18.083333333333332,1.1939582824707031,1.1915525631471113,0
112,105,0,351,10,264,118,86,1,50,24,50,113,77.98,7.0,4.265053460889139,21.69148936170213,1.114347219467163,1.0703317022323608,0
32,22,0,60,9,44,18,17,1,13,4,8,17,77.98,7.0,4.0520231213872835,21.77777777777778,1.1318453550338745,1.1656793753306072,0
24,33,0,69,5,83,18,38,0,4,3,3,13,96.38,2.0,3.9628865979381445,11.092592592592593,1.1653101444244385,1.1739640965753673,0
30,38,0,91,7,76,25,27,5,18,8,13,28,80.01,6.2,4.241904761904762,18.875,1.0960242748260498,1.0947592381773323,0
25,24,0,77,1,76,49,28,2,3,7,11,28,80.82,5.9,4.023255813953488,18.866666666666667,1.11552894115448,1.0142958026665907,0
26,24,0,100,6,69,35,46,0,10,6,14,34,94.05,2.9,3.919642857142857,12.81132075471698,1.0969724655151367,1.0594706478573026,0
36,65,0,123,0,94,62,70,4,14,7,22,31,94.15,2.9,3.79297365119197,12.256410256410257,1.1505637168884277,1.1185019924527122,0
55,53,0,140,2,129,24,59,2,20,8,12,28,84.17,4.6,4.244186046511628,14.0625,1.0911023616790771,1.0533164582754437,0
15,17,0,62,5,49,8,11,1,1,5,6,20,69.25,10.4,4.231231231231231,27.76923076923077,1.271576166152954,1.275183732693012,0
29,22,0,67,3,58,21,24,2,9,3,2,11,72.66,7.0,4.694214876033058,16.384615384615383,1.119997262954712,1.11769700050354,0
35,47,0,118,6,103,43,47,0,17,3,12,40,85.59,4.1,3.916417910447761,13.048387096774194,1.0605354309082031,1.03532748344617,0
30,24,0,72,5,100,25,41,1,5,2,6,16,94.05,2.9,3.7988929889298895,12.64,1.0786528587341309,1.046746898920108,0
50,51,0,208,15,191,91,84,1,23,18,19,58,92.53,3.5,3.8839441535776613,12.585585585585585,1.0593982934951782,1.0715121557546217,0
92,101,0,285,27,273,40,120,8,34,21,20,86,92.53,3.5,3.8246013667425967,13.870748299319727,1.0787298679351807,1.0322916261081039,0
14,19,0,74,4,48,14,17,8,3,0,7,22,78.59,6.8,4.195652173913044,19.05,1.1305627822875977,1.0282096922397614,0
45,42,0,142,6,180,16,67,0,19,5,19,29,92.02,3.7,3.7363344051446945,12.090909090909092,1.064724326133728,1.0789335555043713,0
18,37,0,79,3,86,28,32,0,7,9,4,23,76.42,5.5,4.2224576271186445,14.0,1.110479712486267,1.0531208031886332,0
24,42,0,84,6,92,41,62,4,11,6,9,25,96.99,1.8,3.6598290598290597,9.594936708860759,1.0946704149246216,1.0778492569923401,0
17,16,0,38,1,53,9,31,0,3,2,4,11,87.82,3.2,4.164233576642336,9.545454545454545,1.1876983642578125,1.16969460068327,0
23,20,0,54,1,46,16,26,0,2,4,5,14,93.24,3.2,3.9768976897689767,13.0,1.081878423690796,1.0139648649427626,0
29,22,0,109,2,62,26,21,1,9,8,11,42,75.74,7.9,4.328326180257511,21.875,1.074974536895752,1.0457263243825812,0
24,28,0,68,3,57,35,32,3,12,2,6,16,84.98,4.3,3.9493975903614458,12.244444444444444,1.0743895769119263,1.2448921203613281,0
39,38,0,110,4,98,57,40,0,24,8,13,18,89.38,4.7,3.827639751552795,17.34090909090909,1.1136432886123657,1.086371554268731,0
105,143,0,312,9,233,121,102,5,37,22,37,100,82.95,5.1,4.178838412880966,15.1,1.0697323083877563,1.1209830536561853,0
27,19,0,77,2,73,4,24,0,14,4,16,29,78.18,6.9,4.024048096192384,20.384615384615383,1.0750339031219482,1.5290045042832692,0
59,65,0,131,14,124,43,49,1,21,4,21,31,80.31,6.1,4.011834319526627,18.134615384615383,1.2314809560775757,1.0835964370656896,0
40,61,0,128,3,135,46,59,2,17,10,8,23,84.88,4.4,4.008092485549133,12.528735632183908,1.1023600101470947,1.0310513824224472,0
37,37,0,97,2,68,37,32,4,9,7,16,38,81.12,5.8,4.376991150442477,17.763157894736842,1.0998528003692627,1.1499644603048051,0
58,64,0,153,4,129,75,79,0,29,13,10,39,95.37,2.4,3.859743040685225,11.656565656565656,1.130849003791809,1.034317557404681,0
50,49,0,139,9,121,18,62,8,10,7,10,45,85.18,4.2,4.492517006802721,13.174603174603174,1.107081413269043,1.126522793489344,0
22,30,0,46,4,66,14,29,0,5,5,7,8,83.15,5.0,3.94390243902439,13.411764705882353,1.0796277523040771,1.0675175014664144,0
18,24,0,80,3,52,17,42,0,6,4,2,24,96.69,1.9,3.9335106382978724,9.36734693877551,1.081529974937439,1.070683786869049,0
71,97,0,150,9,175,49,74,5,20,6,17,38,94.15,2.9,3.666393442622951,12.309734513274336,1.1169520616531372,1.0828973494077985,0
46,30,0,126,6,76,22,38,0,11,10,11,32,82.85,5.1,4.428828828828829,15.425,1.3800216913223267,1.2376557136404103,0
42,47,0,131,5,138,74,51,2,19,17,10,50,93.14,3.3,4.013048635824436,14.547945205479452,1.1029009819030762,1.0348457098007202,0
